star_score,reple
다만 악에서 구하소서
10,이정재 ㅈㄴ 지드래곤 같았음
6,"연기는 손색이 없으나, 스토리가 조금 빈약하지 않나 생각합니다."
10,"신세계가 흥행한이유 믿고보는배우 황정민,이정재 fast.박정민연기에 놀라다"
10,액션도 쩔고 계속 장소가 바뀌며 치달리는 영화라 지루하지도 않다! 황정민 이정재 박정민 연기 구멍이 없어서 더 좋은듯
10,목숨과바꾼 가족사랑  그리고 액션 특히 박정민 배우님에 충격적인 변신..좋았어요
10,역시 믿고 보는 배우 황정민. 이정재.박정민 이영화는 꼭봐야한다!!!올해 최고의 작품 강추
10,역시 박정민!!!!조연이아니라 나에겐주연  강철비2보려다 조연으로박정민이나온다해서바로선택한영화인데완전나의신의하수였다?
10,와 이거 감독판으로도 나왔으면 좋겠다
10,황정민이랑 이정재 같이 나오는 영화는 다 재밌어
10,몰입감 긴장감으로 시간 순삭ㅋㅋㅋ 존잼
강철비2: 정상회담
6,미국대통령이 너무나 쉽고 허술하게 납치되는 과정을 보면서 어이상실 한번 하고 백악관이 이 사실조차 모른다는데서 두번 어이상실.. 예의없고 안하무인의 미대통령의 코미디 캐릭터를 보면서 기대 접고 봄.. 잠수함 액션은 볼만함
1,"평점높은거 알바라고 보면되요. 개실망했습니다. 저 배우들을 데리고 이정도밖에 안되나요? 억지스러운 스토리와 웃기고 싶은 욕망, 아마추어같은 영상미, 기억나지않을 음악까지..."
1,북에서 개봉하면 인기많을듯 ㅋㅋㅋ 김정은 미화영화
2,"낚였다~억측난무, 정치 다큐 영화"
7,재미있게 봤는데 마지막에 너무 정치적인 제스쳐를 강요하는거 같아요.
4,2시간짜리 역사수업. 하품을 멈출수가없네 국뽕은 왜이리 심한거냐.문재인의 판타지 봐주느라 힘들었다.
1,전편보다 지루함 스토리도 별로임
2,방금 보다가 너무 졸려서 중간에 나왔음완전 최악.비추. 가족들하고 보려다가 혼자본게 그나마 다행.
1,잼없다. 보지마라!절대로~~
1,아 진짜 개 쓰레기 영화이런 영화에 쓴 내 Kt멤버쉽포인트가 아깝다.현실성없는건 둘째치고 내용이 너무 재미없고시나리오 쓴사람이 진짜 못배운 티 남.  저런 시나리오로 어떻게 투자를 받았지?대통령 관저 청와대가 무슨 20평대 아파트 같질않나 대통령 가족을 무슨 중산층 가정처럼 묘사해놓질않나 고증엉밍에  아무리 북한이래도 3자회담을 3류 모텔같은데서 하질않나 ㅋㅋㅋㅋ 잠수함 씬은 80년대 우뢰매보는줄 ㅋㅋㅋㅋ 암튼 대학생 독립영화도 이정도는 아니겟다. 그냥 감독의 짧고 편협한 지식으로 상상한 시나리오 쓰레기 영화.
반도
2,부산행 반도 못따라감 그래서 반도임
6,재미있게 잘 봤습니다. 다만 조금 질질 끄는 게 아쉬웠어요. 전형적인 약간의 억지 감동은 빼주셨으면
4,영상미는 좋은데 스토리가....흥미가 안생겨요배우님들 고생 많았습니다
1,진짜 재미없음 다른말필요없음
8,미안하지만 jane 명찰보고 빵터짐
1,실망대망.  교과서적 연출로도 평타 이상은 가능할 좀비소재를 이렇게까지...
2,한창 때리고 부수고 싸우는 거 좋아하는 10세 남아 머리에서 나올법한  수준 낮은 각본과 연출. 대신 추진력 하나는 인정. 이런 지지고 볶는 짜파게티같은 각본을 완결짓고 영화판에 내다니..그 점은 대단! 애기들도 연기 연습 더 해야겠더라
5,분노의 질주를 본것 같았다...감동을 억지로 씬에 담으려는거 같았고현실성 없는 내용들이 많이 깔려있어서보는내내 이질감이 느껴져 2점 드렸습니다.
6,"기아 모하비 홍보영상을 보고나온 느낌이 제일 강하게 들었고,차량 액션신은 대부분 cg인데 이질감이 느껴짐좀비 연출은 죄다 때거지로 덤비는 연출 아쉬움그냥 볼만한 수준의 영화이 영화보다 부산행 한 번 더 보는걸 추천드림"
2,부산행의 반도 못하다 해서 반도. . 인가..
애니멀 크래커
10,볼거리도 다양하고 음악도 좋고~ 아이들과 보기에 딱 좋은 애니메이션이에요~
10,아침 일찍 아이들과 보고 왔는데 너무 재밌어해요~ 핵꿀잼!
8,초딩 조카들이랑 같이 봤는데 너무 재미있었다고 자막판으로 다시 보고 싶다고 하네요~ 영상도 예쁘고 음악도 신나서 아이들이랑 보기 좋습니다~
10,"시사회로 미리 봤는데, 어른들도 재밌게 볼 수 있고 아이도 좋아하고 즐겁게 봤네요. 추천해요"
10,오랜만에 애들이랑 같이 극장 다녀왔는데요. 여름방학 영화로 최고! 강추입니다!!
10,노래가 너무 신나요~ 동물친구들도 너무 재밌습니다~
10,너무 예쁘고 재밌어요~! 즐거운 영화 입니다~
10,에밀리 블런트가 더빙했다길래 기대하면서 봤는데 두 부부 합이 진짜 장난아니더라구요ㅎㅎ 믿고 보는 제작진들이라 영상미도 좋았네요
10,퀸 노래 나온다고 해서 기대했는데 스크린으로 서커스 장면이랑 같이 보니까 진짜 최고였어요ㅋㅋㅋ동물들도 넘 귀엽고 감동적인 교훈까지 좋았네요ㅎㅎ여름방학이라 조카들 델꼬 또 가려구요
10,방학시즌에 비와서 우울했는데 기분전환 딱인 영화...!
빅샤크3: 젤리몬스터 대소동
10,여름에는 애니들 그래도 개봉 많이하는거같아서 다행이예요. 빅샤크3를 시작으로 슬슬 하나씩 도전해봐야겠어요
8,감동적이네요~ 어른이 봐도 잼나요^^  가족영화로 강추!!!
9,"아이,첫영화였는데 헐 벌써 세번째시리즈라니...앞에 1,2편도 찾아봐야겠네요. 3살짜리가 보기에도 좋았어요. 엄청 집중하고 잘 보내요^^"
10,빅샤크1때부터 생각한건데 캐릭터 디자인 너무 잘 나왔어요 젤리몬스터도 너무 귀여워요ㅋㅋ 어른들도 생각보다 볼만한 만화영화 애들한텐 스토리랑 교훈도 잘 전달해준듯
10,"6살. 9살 남매, 내내 마스크쓰고 보는데도 투정도 안하고 잘봤어요. 극장안이 시원해서 그런지 괜찮더라고요.^^"
10,아이와 함께 오랜만에 극장에서 본 영화인데 기대만큼이나 재미있네요. 그동안 극장에 통 못갔었는데 마스크 잘 챙기고 안전하게 관람했네요~
10,"애들이 생각보다 많아서 깜짝놀랐어요, ㅎ. 다들 얼마나 기다렸을까요? ㅜㅜ 신나게 잼나게봐서 너무 뿌듯했네요!"
10,어쩌다 애들 따라 본 영환데 어른인 제가 봐도 재밌네요
10,반도나 강철비보러갈바엔 걍 이거 봐야겠다 ㅎㅎ
10,캐릭터들이 너무 귀여웠어요 ㅋㅋ 재밌게 잘 봤습니다.
온워드: 단 하루의 기적
10,아빠가없는 우리꼬맹이랑 같이 봤어요..저혼자 울면서 보았네요 /..아이가 나도 저런기회가 있으면 좋겠다고 해서 마음이 아프네요
10,픽사 영화는 묘한 뭔가가 있음. 보고 나온 뒤에 시간이 지날수록 더 여운이 남고 자꾸 생각남
9,재미있으면  공감  재미없으면  비공감
10,기발합니다. 큰 기대안하고 왔다가 울컥하고 갑니다.
8,"이제까지 봐왔던 픽사 필름 중에선 조금 아쉬운 부분이 큰 영화이긴 하나, 강력한 한 방이 있다. &#39;준비는 평생 안돼, 끼어들어!&#39; 이 대사가 정말 머릿속 깊은 곳에 박혀버렸다. 덕분에 내일부터 다시 도전해보려고 한다. 정말 애 어른 구분없이 교훈을 주는 픽사."
10,영상미도 황홀하고 정말 역시 픽사라는 말이 저절로 나왔던 영화였네요. 막판에는 결국 눈물을 흘리기도 했고 정말 너무 재밌게 잘 봤네요~
9,마지막 장면은 예상 밖이었지만 서로를 이해하고 위하는 형제의 바로 그 마음이 아버지가 원했던 형제의 모습이었을 것이다. 맨홀이 열리고 피닉스젬이 있는 장소도 의미심장했다. 언제나 열쇠는 내 주위에 있다.
10,이런 걸 보고 누가 울어;; 유치해 죽겠네 진짜... 흐어허어엉 ㅠㅠㅠㅠ 처음엔 발암캐인 줄 알았는데 진짜 주인공은 발리였다 너무 귀엽고 사랑스럽고 안아주고 싶은 캐릭터 ㅜㅜㅜㅜ
10,발리는 이안에게 최고의 형이자 아빠였다. 귀네비어의 아름다운 희생
10,"감동적이네요. 우리가 기억하는 부모의 모습, 찾고싶은 모습..그게 다리 뿐이라도 소중하네요. 참 좋은 영화."
소년시절의 너
10,아니 얘네 왜케 연기잘햐요?;;;; 진짜 걍 개좋앗음 쟤가 내 남친이길 바라고바랫네!!
10,"연기, 연출, 엔딩 크레딧에 노래까지 완벽..."
10,세상으로부터 버림받은 두사람이 서로의 세상을 지켜주는 이야기
10,세상은 우리를 지켜주지 않지만 어떤 누군가가 다른 누군가를 지켜줄수 있다. 앞으로 그런 누군가가 되고싶다.
10,오늘은 종일 이 영화 생각만 날듯...
10,주동우라는 배우면 믿고 봄.
10,"주동우는 매번 연기의 끝을 보여주는 것 같아요,너무 감동적이었고 이양천새 쨩 ㅠㅠ??"
10,진짜 부족한 거 하나 없어요꼭 보세요 강추합니다그리고 학교에서 학생들에게 이 영화 틀어줘도 좋을 만한 스토리에요
10,진짜 말이 필요없음. 안 보면 후회한다. 주동우가 계속 우는 연기를 하는데 나까지 울컥해서 펑펑 울었다. 웬만하면 영화 리뷰 안 남기는데 안 남길 수가 없는 영화. 이양천새도 잘생기고 연기 너무 잘함. 대사 하나하나가 전부 명대사다. 솔직히 어린 아이들의 사랑이라고만 정의내리기에는 영화 안에 담겨진 메시지와 그들의 교차하는 감정과 교감 또한 너무 뛰어나고 감정선이 너무 좋았다. 상영관이 더 많았으면 거의 출석체크하러 갔을텐데 얼마 안 하는 게 넘 아쉬웠음.
7,주동우와 이양천새의 연기는 그저 소름돋는다.
미녀와 야수
10,ㅋㅋ혼자보구왔는데 세상이달라보이네 보고나면 길걷는것도 재밌고 그냥 웃음나오고 행벅함
10,말이 필요없다 진짜 실사화 제대로 해놨네 역대급임 진심 디즈니에서 일 제대로 함
10,야수의 선홍빛 잇몸미소가 아직도 눈에 선합니다 .
10,"시사회 보고 왔습니다 일단 역대 디즈니 실사화영화중에 역대급이라 할수 있습니다 노래, 영상미, 연기 모두 뛰어나고 CG가 너무 황홀해서 어릴적 향수를 그대로 충족시켜주는 영화였습니다 디즈니에게 다시 한번 박수를 보내게 되네요!"
10,예매 망설이신 분들 .. 그냥 봐요 두번 봐요 전 다섯번 볼테니ㅎㅎㅎ헿
10,벨캐스팅 잘한듯 야수도 귀여움 근데 왕자보다 개스톤이 더 잘생김왕자구림ㅋㅋ
10,원작미녀와야수와 많이비슷해서 보면서 어릴적 만화영화가 주마등처럼 지나가더라구요!!!♡♡소품디테일도 대단하고 배우들노래부르시는게 진심이담겨있고 가사하나하나가 정말사랑하는기분이들어서 감동먹었어요!!ㅜㅜ인생영화♡
10,미녀와 야수 스토리 안다고 생각했는데 왜 나 눈물남?ㅠㅠㅠㅠ 진짜 마지막에 울컥함 또봐야지
5,왕자보다 야수의 모습이 더 멋진 아이러니한 상황..
10,잊고있던 내 어린시절로 돌아간기분이다.동화같은 영화가 동화같았던 어린시절 기억을 떠오르게 한다. 정말 영화가 이쁘다.
블랙아웃 : 인베이젼 어스
1,ㅈㄴ재미 없고 지루한데 지들만 심각해서 1시간 이전에 현타 와서 포기함
2,제목이 영화 자체다. 정말 아웃이다.
4,지루함을 방해하는 영화
10,기대 안했는데 생각보다 너무 재미있었음! 세계관도 좋고 볼거리도 많고 ㅎㅎ 러시아 영화 괜찮네~~
1,내 평생 이 영화로 쏘련 영화는 더이상 없다.
1,5년전에 다운받아서 보다가 재미없어서 버린 영화인데....
10,액션도 좋고 생각보다 스토리도 탄탄해서 볼만했어요
10,생각보다 스케일도 크고 퀄리티 좋고 할리우드 sf 저리가라임 강추강추
10,
9,그냥저냥 sf일거라 생각했는데 세계관도 흥미롭고 신선하네요!
알라딘
10,윌 스미스가 하드캐리하여 의도치 않게 원작을 뛰어넘은 실사영화
10,영화가 너무 아름답다..ost도 잊혀지지 안고 디즈니 실사중에서 최고중에 최고다 쟈스민 너무 멋지고 팬 엄청나게 생길듯 웃다가 울다가 너무 좋았음
10,존잼임... 난 처음 도입부에 아~라~비안 나~잇 이 부분에서부터 감동받아서 울 뻔했음...
10,자스민의 speechless 명장면이고 덤으로 윌 스미스의 연기력 또한 매우 굿~~
10,A whole new world 나올때때 개소름...
10,자스민 존나 이쁘다..
10,지니가 나오면.. 이세상 흥이 아니다ㅎ
10,일요일 아침 8시 디즈니 만화동산 챙겨보고 비디오 알라딘 애니도 수십번 빌려봐서 테이프 늘어났었는데 ㅎㅎ클린액으로 비디오 헤드 청소해보신분 손!
10,디즈니가 미쳤음.. 영화시장을 통재로 잡아먹으려고 작정을함..끝내주는 영화 이제껏 디즈니실사중 최고였음
10,제일 우려스러웠던 윌스미스가 하드캐리하는바람에 원작 뛰어넘어버림 ㅋㅋㅋ
고 피쉬!
1,니모를 기대하고 갔다가 깜짝 놀라고온...
1,이건 좀 아니잖냐
1,9살 아이 데리고 봤는데.. 안 좋은 시국에 아무리 볼 영화가 없어도 이건 아님. 시작 전에 광고가 제일 재밌었음.
2,"4학년.2학년 두  딸과 보러갔는데 이거 미국영화맞나요?중국영화인가 했네요?스토리도 빈약하고 화면도 너무 단순하고기승전결이 있긴 하지만 너무 맹숭맹숭해서 둘째딸 집중 못 하고 얼마나 어수선하던지~~유치원이하 어린이들이 봐야할 수준인데 그러기에도 몰입도 떨어지는~~중간중간 음악이라도 나오면나오겠지만물고기들이 지루하게 늘어지는 대화만 많이하고, 그나마 해마가 암수구분없이 임신한다는 지식 하나 얻어가네요.도리를찾아서, 니모를 찾아서 생각했다가 완젼 폭망. 이럴거면 알라딘을 봤어야 했는데~~돈 아까워요 ㅠ"
10,물고기들이 너무 귀엽고 또 환경문제를 아이들이 알기 쉽고 재미있게 잘 풀어 놨네요 . 아이들이 너무 좋아했어요
2,상어가족 2시간트는게 더나은수준
2,시장은 닭 비서는 비선실세
10,아이랑 재미있게 보고왔는데.. 악플만있네요 무시무시하고 징그러운 악당을 싫어하는 아이라 이 영화가 너무 재미있었다고 합니다 색감도 예쁘고 잔잔한 스토리 괜찮았어요
10,
10,
마티아스와 막심
10,m & m
8,자비에돌란 플레이리스트 훔쳐오고싶다
9,순간순간 뻔하지 않은 전개들. 다시 처음으로 돌아간 것처럼 순수의 극치. 키스하는 그들의 가슴떨리는 순간과 동시에 펼쳐지는 소나기와 잘 당겨지지 않은 양말까지 아름다왔다.
8,내내 부러움을 느낄 정도로 사이 좋은 친구들.. 이 기억에 남네
6,초반에는 지루하다. 막심과 케빈은 잘생기고 만화에서 튀어나온듯 섹시하고 매력적이다.
9,매력적인 영화 연기음악연출 다 좋았다
10,이 친구들의 우정이야기사랑합니다
8,자비에돌란의 영화를 내가 왜 좋아했는지다시 한번 깨달았다.M&M
8,자비에 돌란 특유의 미장센이 좋다.
8,자비에 돌란의 전작들이 자의식 과잉처럼 느껴져서 싫었다면 이거까지만 보고 다시 평가해도 늦지 않을듯. 생각보다 좋았다. 막심이 이메일 주소를 부르다가 흐느낄 땐 콜바넴에서 화롯가에 앉아 우는 엘리오랑 겹쳐보이기도.
밤쉘: 세상을 바꾼 폭탄선언
10,이 시국 필람 영화. 세상 모든 성 범죄자들이 자신의 ‘죄만큼’ 벌 받을 때까지.
10,"여성들끼리 연대가 중요함. 모른척하고 침묵할수록 결국 내 딸, 내 친구, 나로 다시 돌아온다."
10,와 진짜 너무 재미있다 짜릿하고 소름 돋고 화나고 공감되고 ㅠㅠ 언니들 최고다 또 봐야지
10,세 배우들이 캐리하는 재밌는 영화
10,기대했던 만큼 재밌게 봤다. 배우들 연기도 쩔고 진짜 통쾌함 진짜 지금 봐야 하는 영화
10,"잠시도 눈을 뗄 수 없었다. 긴장감+몰입감+속도감 쩔어줌 ㅠㅠ 영화 자체로도 재미있는데다 강력한 메시지까지 완벽했다. 한 사람 한 사람의 용기가 모여 세상을 바꿀 수 있다. 우리는 변화하고 있다, 지금도."
9,내용. 연기  모두 좋았어요~~
6,배우들의 명연기에 비해 너무 밋밋한 연출.. 그래도 메시지는 명확하게 전달했다. 사실 그것마저도 배우들의 덕이 큰 영화다
10,"세 배우의 합이 너무 좋았고, 지금 상황에 딱 맞는 영화라고 느껴졌다! 엘리베이터 장면이 너무 강렬하게 기억에 남음 ㅠㅠ"
10,피해자가 자신을 혐오하는 상황이 너무 안타깝다.목소리를 낸 피해자들은 모두 정말 대단한 사람들이다.우리는 피해자들이 떳떳하게 살아갈 수 있는 사회를 만들어야할 것이다
지저귀는 새는 날지 않는다
10,원작 만화책의 내용을 모두 스크린으로 옮기지는 않았지만 상당히 이야기 전개가 깔끔하고 연출이며 성우들의 연기가 자연스러워 좋았습니다. 특히 야시로가요. 마지막 OST도 영화와 잘 어울려서 여운을 잘 줬고 책으로 나온 뒷부분도 다시 영화화 해줬으면 합니다.
10,내용을 알고 있어도 스토리 흘러가는 거나 주인공들 이야기에 몰입할 수밖에 없었고 복잡한 사랑인듯 사랑 아닌 그 간질거림이 잘 드러나서 너무 좋았다 ㅠㅠ 그리고 야시로 행복하게 해주세요 제발 보는 내내 이 생각밖에 안 들어요 ㅠㅠ
8,마지막에 나오는 Ost가 좋네요 작붕이 있긴 했지만 얼굴이 참 잘생겼습니다
10,드씨와는 다른 연출방식이었지만 극장판 나름의 스토리 진행으로 보는데는 전혀 문제 없었다.오히려 시간에 맞춰 잘 편집한 느낌?^^야시로는 여전히 섹시했고 도메키는 더욱 우직해서 너무 좋았다.다만 작화가 가끔씩 무너지는게 보여서 그 부분이 안타깝긴했지만 그런 것들을 커버하고도 남을 작품이었다.2편도 개봉되길~
10,제가 엄청 좋아하는 작품입니다!!! 개봉 이날을 계속 기대하고 있습니다! 진짜 좋아합니다!성우들 도 그러고 OST도 그러고 완전 좋아합니다!!!
8,추억의 야오이를 극장에서 본 역사적인 날. 요즘 세대들 좋겠다. 앞으로 많은 BL물이 상영되길 바랍니다.
10,원작의 섬세한 스토리와 감성을 너무 잘 담아낸 극장판ㅠbb
9,"원작 모르고 오로지 BL물이 스크린에?! 이런 마음으로 보러 갔음.1. 관람 후 집으로 돌아가는 길에 전권 구매함2. 원작을 보고 나니 야시로의 행동이나 감정이 훨씬 더 잘 이해되었고, 도메키의 행동에 어떤 의미가 있는건지 이해하게 되어서 감동이 두배3. 작붕이 있으나 몰입에 방해되는 정도는 아님4. 음악을 너무 잘씀 엔딩곡은 가사까지 절묘해서 끝까지 듣게 됨5. 수위가 많이 높음 주의"
9,원작의 스토리에 충실한 영화임. 짧은 상영시간덕에  사전에 원작을 보지 않은 관객들은 스토리의 개연성이 떨어진다고 느낄 수 있을듯합니다. 하지만 그림으로만 보던 만화를 애니메이션으로 볼 수 있었다는 점..만화책으로 봤을때 그다지 와닿지 않았던 감정선이 애니메이션으로 보니 아..이게 이런 느낌이었나..싶은 부분이 분명히 있었음. 그리고 기대 이상의 OST
10,"원작을 너무오래전에 봐서 다까먹고 봤는데 너무좋았어요>< 영화관에서 우헣 싶은 장면이 많이 나오기는 한데(청불아님 큰일날 영화...) 스토리랑 연출, 오스트가 너무 아련아련하게 잘잡아준거같아요"
블루 아워
10,"한 번 보고 나서는 여운이 오랫동안 남아서 한동안 집에 돌아와 침대에 누워 계속 이 영화 생각만 했다. 이상하게 계속 끌려서 한 번만 더 봐볼까, 했던게 결국에는 지금까지 도합 다섯 번을 보게 되었다. 말하자면 한 번에 이해하기 힘든 영화이고 취향을 좀 타는 영화이다. 하지만 거꾸로 생각하면 이 영화의 메세지를 깨닫게 될 때까지 계속 보고싶어지는 영화이기도 하다. 이 영화가 비디오 테이프로 있었다면 나는 테이프가 엉키고 끊어질 때까지 계속 봤을지도 모른다. 여름에 어울리는 영화이긴 하지만 겨울 바다처럼 하염없이 볼 수 있는 영화기도 했다.솔직히 영화 배급사가 홍보를 잘못했다고 생각한다. 허위 광고 아닐까하는 생각이 들 정도이다. 블루아워는 굳이 말하자면 &#39;힐링&#39;이라는 타이틀을 붙일 수도 있겠지만 &#39;리틀 포레스트&#39; 같이 양지에서 해바라기 하듯이 마음을 다독여주는 영화가 아니다. 본다면 몇 번쯤은 불쾌한 감정이 들거라고 알아둬야 영화를 보며 혼란스럽지 않을 것 같다. 비유하자면 내가 본 &#39;블루아워&#39;는 오히려 비가 퍼붓는 여름날에 버스정류장에 서 있을 때, 곁에 구멍이 살짝 난 우산을 발견한 느낌에 가깝다고 생각한다. 번아웃 상태인 &#39;스나다&#39;는 &#39;기요&#39;와 함께 싫어하던 고향에서 자기가 삶에 지친 이유들을 발견하고 불쾌한 상황에 맞닥뜨리지만, 동시에 &#39;그럼에도&#39; 살아가야 할 이유들을 찾기도 한다. 마음이 깨진 상태에서 그 조각들을 모아 이어 붙이고, 굳히고, 결국에는 성장하는 이야기가 담겨있는 것이 &#39;블루아워&#39;라는 영화이다. 그리고 이를 보며 공감하고, 함께 일어설 용기를 넌지시 던져주는 것이 블루아워의 힐링 방식이고. 마지막으로 나오는 노래를 함께 듣고 나오면 나도 모르게 하늘이 온통 파란, 좋은 아침이라하기에도 애매하고 잘 자라고 하기에도 애매한 새벽의 &#39;블루아워&#39;에 달리고 싶은 기분이 든다."
6,포스터/예고편 같은 내용아닌데 왜 이런식으로 마케팅한건지... 그냥 원래 느낌 대로 했었어도 봤을것 같은데 일단 영화를 보고 나서 청량힐링로드무비에 낚인 분노가 더 컸습니다...ㅠ ㅠ 그와 별개로 영화는 호불호가 많이 갈릴것 같습니다. 블루아워라는 제목보다 블루아워에서 날려버려 란 원제목이 더 영화 내용과 알맞는것 같아요. 서사없이 그냥 물흐르듯이 내용이 흘러가는데 점점 잠겨가는 끝없는 느낌은 압도적이었습니다..
10,힐링영화 기대하지마셈음울하고 지루한 감성 조금 표현이 덜된듯 모호한 부분이 있지만 그것도 조앗슴
1,정말 힐링영화였다면 주말에 반도를 꺾었을 거야. 지금은 그런 영화가 필요하거든. 이 영화 마케터는 관객들에게 미안해 해야해. 그러면 안돼. 영화를 속여서 팔다니...
2,너무 난해했다.. 일본식 특유의 오바스러운 연기도 오글거리는거에 한몫했고...보는 내내 나갈까..가족애를 그리려고했던건지 대체 뭘 보여주려고 했던건지..힐링무비는 절대 아니라는것만 알아두길. 일본 특유의 음산함과 어울리지않는 음악들. 알수없는 장면들과 특유의 연기들..일본영화가 원래 이렇지 라고 하기엔 너무도 난해하고 눈쌀을 찌푸리게 만들었다. VIP 멤버십으로 봤는데..돈아까워 죽는줄..
2,90분동안 불편하고 찝찝하기만한 그런영화 .. 뭘말하고싶은건지도 모르겠고 장르가 공포영화였나? 하고 간간히 생각이드네    난해한건지 이상한건지 모르겠는데 코로나때문인가 영화관에 상영할게 이런거밖에없는건가
1,하ㅠ 정말ㅠㅠ 백번 양보해도 별 하나도 아깝다
1,40넘게 살면서 처음으로 관람도중에 포기하고 나왔습니다.
10,밤인지 아침인지 모를 푸른시간. 모두가 잠든 외로움속에서만 위로를 얻는 당신에게.
1,첫 장면부터 아...싶더라고요 일단 힐링영화는 절대 아님그리고 끝까지 찝찝함 영화 내용도 잘 이해가 안 돼요...이거 보느니 강동원 보러 반도가세요! 최악과 차악 중에 차악이ㅠㅠ
카오산 탱고
10,"아는 맛이라 더 그리운. 영화를 보는 내내 아, 이 영화는 진짜 여행자가 만들었구나. 태국과 인도 고인 물인 것 같다, 생각했고 적어도 3개월 이상 여행해본 여행자라면 누구나 일상으로 느껴질 법한 부분을 참 잘 담아낸 것이 신기했다. 암파와나 쏭크란을 볼 수 있는 것도 좋았지만 전통 모자 쓰고 다니며 또로록 또로록 긁어서 소리 내는 악기 들고 다니는 아주머니, 매일 타고 다니던 짜오프라야 수상 버스, 여행자들이 입고 다니는 옷 등 실제로 카오산에서 만날 수 있는 사람들과 풍경을 보는 게 너무 좋았다. 땡모반 들고 다니던 여주인공을 보며 피식, 웃음까지 나오더라니. 진짜 다 넣었네 싶어서. 영화를 보는 내내 얼마 전까지만 해도 일상이었지만, 지금은 너무 아득해 꿈처럼 느껴지는 그 분위기가 너무 그리웠다. 진짜 그렇게 사는 게 행복하니? 돌아갈 수 있을 때 돌아가. 여행자라면 누구나 한 번쯤 해보았을법한 고민을 날카롭게 건드린다. 여행이 길어지며 한 곳에 자리 잡기 점점 어려워지고 돌아간 곳에서의 삶을 감당할 수 없을 만큼 자유를 맛본 사람들이 할 수 있는 말이겠지. 돌아갈 수 있을 때 돌아가라는 말. 꼰대스러운 그 말을 듣는 게 참 싫었는데 지금 생각해보면 그들 자신에게 하는 말이었을 수도 있겠다. 영화를 보는 내내 이 영화를 만든 사람의 목소리가 곳곳에서 느껴졌다. 여행을 통해 인생이 바뀐 사람, 소중한 사람을 잃어본 사람의 목소리가. 영화를 보는 내내 마음이 좋았다. 익숙한 거리의 간판과 사람들을 보며 그곳의 공기가, 온도가 고스란히 전해졌다. 여행이 그리운 사람이라면, 인도와 태국 여행자라면(대개 이 두 곳을 오가는 퐁당퐁당 고인 물이 많으니 ㅎㅎ) 추천하고 싶은 영화."
5,"영화가 무얼 말하려고 하는지 모르겠음. 남주 여주가 왜 그런 감정을 느꼈는지, 왜 서로에게 마음이 끌렸는지에 대한 설명도 없음. 현실적인 방콕 장면에서 비현실적인 이야기를 다루니까 이질감이 매우 느껴짐. 벗, 남주 진짜 잘생겼다라는 생각들었음"
6,영상미는 뛰어나나 다른면은 다 부족함방콕을 가고 싶게 만들지만줄거리가 뜬금 없음
8,여행지에서 이런 감정을 느낄수도 있다고 생각하고 보면 딱 좋을 영화. 잔잔하게 흘러가는 내용에 몰입하게 되더라구요. 태국 방콕의 다양하고 생생한 풍경도 볼만합니다.
10,저는 너무 잘봤습니다.. 잔잔하게 감동주고 여행자들의 군상을 볼 수 있었습니다.. 사람마다 느끼는게 달라서 평이 좀 아쉽네요! 영상 음악도 저는 좋았습니다.
2,이걸 무슨 의도로 만든거냐
1,시간 아까운 영화조연으로 나온 사람 배정남인줄
10,"영화 시작 30분 경과, 나의 몸은 이제 주체할 수 없는 지경에 이르렀다. 내 영혼은 이미 방콕으로 떠났고 이제는 몸마저 영화관 의자 밑으로 떨어지려고 한다. 눈을 잠시 감았다 떴더니 여주인공은 머리를 풀고 택시를 타고 떠난다. 아, 잠시 졸았구나. 다시 영화에 집중하려 했다. 하지만 나는 마음만 방콕에 떠난 것이 아니었다. 실제로 나는 1시간 10분이라는 시간동안 방콕에 다녀갔다 온 것이었다. 그렇다. 감독 김범삼은 나의 손을 잡고 함께 방콕으로 떠났다. 18 years. 내 외길 인생에 이런 몽롱하고 오묘한 경험은 색달랐다.카오산 탱고. 이 날을 평생 잊지 못할 것이다. 아, 얼마나 의미있던가.&#34;카오산 탱고 했다.&#34; -옆자리 이모씨"
